# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = heavy, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=22000000.0, vE=23200000.0, vesc=54400000.0
# mX (eV) = 17000000.0
# sigma_e (cm^2) = 1.4677992676220615e-43
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,0.0005641692879
1.3,0.002054905526
1.4,0
1.5,0
1.6,0.0009483461896
1.7,0.00258759644
1.8,0
1.9,0.009486712033
2,0.002205470542
2.1,0.007204629801
2.2,0.004041848955
2.3,0.003627158743
2.4,0.0101330701
2.5,0.001654257829
2.6,0.004511031669
2.7,0.0083135299
2.8,0.006459738878
2.9,0.009757410964
3,0.009010274466
3.1,0.005195222659
3.2,0.0121063357
3.3,0.01196190872
3.4,0.009761914721
3.5,0.002371308704
3.6,0.005387238577
3.7,0.008304997427
3.8,0.01010746814
3.9,0.01017091024
4,0.009094573215
4.1,0.01035683026
4.2,0.009742626695
4.3,0.01161932848
4.4,0.003692029403
4.5,0.01183054544
4.6,0.006701418248
4.7,0.008159915087
4.8,0.005636058932
4.9,0.007846117157
5,0.008566857351
5.1,0.007954692943
5.2,0.007778423935
5.3,0.007868388031
5.4,0.009446204075
5.5,0.005806778744
5.6,0.006477085236
5.7,0.007060434268
5.8,0.00178718012
5.9,0.00578672217
6,0.007143722619
6.1,0.00167541182
6.2,0.004929621041
6.3,0.004262062795
6.4,0.002158710091
6.5,0.007419033238
6.6,0.004921684781
6.7,0.001478916503
6.8,0.00442120305
6.9,0.004387115931
7,0.002025552884
7.1,0.004261793513
7.2,0.00110633491
7.3,0.004507539982
7.4,0.003080327946
7.5,0.001939088989
7.6,0.002501436819
7.7,0.002193788612
7.8,0.002722490632
7.9,0.004548550706
8,0.002953975379
8.1,0.001544098007
8.2,0.002015890433
8.3,0.002465975202
8.4,0.001782537417
8.5,0.001985555063
8.6,0.001235890016
8.7,0.002006031227
8.8,0.002194464655
8.9,0.001977104781
9,0.001618891995
9.1,0.002061572693
9.2,0.002495789837
9.3,0.002435816445
9.4,0.001772659043
9.5,0.001417528123
9.6,0.001177610164
9.7,0.00168390958
9.8,0.001656420954
9.9,0.001768343381
10,0.001427311747
10.1,0.001879280264
10.2,0.001877457135
10.3,0.001826893056
