# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = heavy, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=22000000.0, vE=23200000.0, vesc=54400000.0
# mX (eV) = 380000000.0
# sigma_e (cm^2) = 1e-27
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,2.011595446e+11
1.3,7.40677039e+11
1.4,0
1.5,0
1.6,3.51613684e+11
1.7,9.638881302e+11
1.8,0
1.9,3.612312233e+12
2,8.475729585e+11
2.1,2.800708371e+12
2.2,1.593534637e+12
2.3,1.443646539e+12
2.4,4.077736699e+12
2.5,6.766417448e+11
2.6,1.864716616e+12
2.7,3.481116075e+12
2.8,2.746874173e+12
2.9,4.204263007e+12
3,3.930577258e+12
3.1,2.297202228e+12
3.2,5.439894409e+12
3.3,5.448394043e+12
3.4,4.510932451e+12
3.5,1.117657452e+12
3.6,2.574027042e+12
3.7,4.018261737e+12
3.8,4.959578825e+12
3.9,5.058115984e+12
4,4.64267429e+12
4.1,5.287473156e+12
4.2,5.139219768e+12
4.3,6.218221362e+12
4.4,1.982428629e+12
4.5,6.559028433e+12
4.6,3.779684815e+12
4.7,4.691068167e+12
4.8,3.319969744e+12
4.9,4.687799019e+12
5,5.208667267e+12
5.1,4.92764467e+12
5.2,4.968313437e+12
5.3,5.047798173e+12
5.4,6.139235538e+12
5.5,3.943162217e+12
5.6,4.422345388e+12
5.7,4.897433724e+12
5.8,1.263158628e+12
5.9,4.134054673e+12
6,5.195590004e+12
6.1,1.281803033e+12
6.2,3.721690867e+12
6.3,3.2261573e+12
6.4,1.697687494e+12
6.5,5.717934424e+12
6.6,3.839996647e+12
6.7,1.149179796e+12
6.8,3.527217515e+12
6.9,3.429440117e+12
7,1.692502562e+12
7.1,3.417592102e+12
7.2,8.458647042e+11
7.3,3.443680541e+12
7.4,2.273026921e+12
7.5,1.492158017e+12
7.6,1.759493171e+12
7.7,1.550525034e+12
7.8,1.626130563e+12
7.9,2.935617694e+12
8,1.92114546e+12
8.1,9.294761882e+11
8.2,1.227443999e+12
8.3,1.42040808e+12
