# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = heavy, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=22000000.0, vE=23200000.0, vesc=54400000.0
# mX (eV) = 13000000.0
# sigma_e (cm^2) = 1.584893192461124e-30
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,7440193148
1.3,2.698050209e+10
1.4,0
1.5,0
1.6,1.23164031e+10
1.7,3.35771365e+10
1.8,0
1.9,1.220259446e+11
2,2.827232673e+10
2.1,9.190011051e+10
2.2,5.126800672e+10
2.3,4.568188931e+10
2.4,1.274871326e+11
2.5,2.066165364e+10
2.6,5.595770146e+10
2.7,1.025802235e+11
2.8,7.939408501e+10
2.9,1.187665379e+11
3,1.093895949e+11
3.1,6.222810198e+10
3.2,1.44489093e+11
3.3,1.412530705e+11
3.4,1.146068454e+11
3.5,2.784305062e+10
3.6,6.210020442e+10
3.7,9.425112565e+10
3.8,1.14052802e+11
3.9,1.117190934e+11
4,1.005382283e+11
4.1,1.116635088e+11
4.2,1.03561803e+11
4.3,1.229046295e+11
4.4,3.81796321e+10
4.5,1.219688391e+11
4.6,6.74944272e+10
4.7,8.083003486e+10
4.8,5.535752194e+10
4.9,7.528427394e+10
5,8.016783628e+10
5.1,7.278589667e+10
5.2,6.935805189e+10
5.3,6.672648801e+10
5.4,8.092283915e+10
5.5,4.76442568e+10
5.6,5.183248974e+10
5.7,5.514404056e+10
5.8,1.323760225e+10
5.9,4.263538451e+10
6,4.918626762e+10
6.1,1.046664412e+10
6.2,3.152666257e+10
6.3,2.400658795e+10
6.4,1.250030621e+10
6.5,3.81661574e+10
6.6,2.219774803e+10
6.7,6327544075
6.8,1.863297935e+10
6.9,1.539111113e+10
7,7425049225
7.1,1.323589731e+10
7.2,2872939720
7.3,1.081867709e+10
7.4,6326165951
7.5,3523628644
7.6,3951571473
7.7,3008428104
7.8,2829307814
7.9,4963308158
8,2874180896
8.1,1225830587
8.2,1537043838
8.3,1601174301
8.4,957894275.8
8.5,878274027.7
8.6,562261702
8.7,615197506.3
8.8,632546072.1
8.9,508533328.7
9,251874190.5
9.1,327161956
9.2,299708038.6
9.3,237914136.1
9.4,172924323.9
9.5,153495815.7
9.6,75403084.49
9.7,103301035.3
9.8,75636729.15
9.9,41458612.3
10,26185088.8
10.1,21889700.71
10.2,13696698.69
10.3,6380668.069
10.4,1724668.358
10.5,13600.08143
10.6,0
10.7,0
10.8,0
10.9,0
11,0
11.1,0
11.2,0
11.3,0
11.4,0
11.5,0
11.6,0
11.7,0
11.8,0
11.9,0
12,0
12.1,0
12.2,0
12.3,0
12.4,0
12.5,0
12.6,0
12.7,0
12.8,0
12.9,0
13,0
13.1,0
13.2,0
13.3,0
13.4,0
13.5,0
13.6,0
13.7,0
13.8,0
13.9,0
14,0
14.1,0
14.2,0
14.3,0
14.4,0
14.5,0
14.6,0
14.7,0
14.8,0
14.9,0
15,0
15.1,0
15.2,0
15.3,0
15.4,0
15.5,0
15.6,0
15.7,0
15.8,0
15.9,0
