# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = heavy, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=22000000.0, vE=23200000.0, vesc=54400000.0
# mX (eV) = 84000000.0
# sigma_e (cm^2) = 1e-34
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,89155.33088
1.3,327772.1093
1.4,0
1.5,0
1.6,154955.8345
1.7,424373.5062
1.8,0
1.9,1585392.672
2,371467.3588
2.1,1225389.784
2.2,695899.3479
2.3,628291.0303
2.4,1775001.809
2.5,293865.0616
2.6,807779.2375
2.7,1505169.001
2.8,1185932.227
2.9,1809076.809
3,1688568.567
3.1,981713.0268
3.2,2325180.776
3.3,2316876.183
3.4,1916865.704
3.5,475899.3161
3.6,1086086.323
3.7,1686624.3
3.8,2080792.583
3.9,2094186.194
4,1934600.36
4.1,2184065.422
4.2,2109803.492
4.3,2551614.647
4.4,808048.1035
4.5,2676490.379
4.6,1530378.079
4.7,1891791.491
4.8,1335989.313
4.9,1874055.266
5,2071831.234
5.1,1946932.095
5.2,1946585.162
5.3,1950247.341
5.4,2394869.269
5.5,1519570.071
5.6,1695353.539
5.7,1874603.802
5.8,474759.9932
5.9,1565546.017
6,1938782.225
6.1,468671.4416
6.2,1365626.416
6.3,1154353.914
6.4,617379.6726
6.5,2019921.846
6.6,1324168.822
6.7,394898.8701
6.8,1210794.499
6.9,1135444.582
7,574375.8256
7.1,1122744.233
7.2,267184.0839
7.3,1069673.162
7.4,692074.9069
7.5,448633.2849
7.6,508752.112
7.7,442194.9197
7.8,409904.7567
7.9,780957.8137
8,514630.2431
8.1,234791.2733
8.2,307799.5248
8.3,343736.3485
8.4,227166.8515
8.5,224400.363
8.6,165340.1471
8.7,188486.0118
8.8,227983.6013
8.9,203975.9006
9,112813.7245
9.1,167382.3864
9.2,173521.4406
9.3,160363.0873
9.4,141222.9446
9.5,135567.6283
9.6,76331.218
9.7,145263.9976
9.8,134457.8844
9.9,103382.9521
10,85963.43369
10.1,99156.68799
10.2,106365.5783
10.3,99261.01653
10.4,80406.33883
10.5,81457.92264
10.6,128113.1497
10.7,43523.16619
10.8,75451.60466
10.9,66966.30467
11,60314.59968
11.1,54793.63836
11.2,71244.00868
11.3,40829.30245
11.4,57138.717
11.5,81896.69493
11.6,59080.28192
11.7,75707.65518
11.8,36755.37834
11.9,66045.05001
12,39141.36919
12.1,34737.33541
12.2,28738.27227
12.3,52945.59967
12.4,25877.12762
12.5,23281.10299
12.6,34269.21908
12.7,10437.35842
12.8,19385.43184
12.9,25123.58762
13,14311.98063
13.1,23369.76699
13.2,22941.83707
13.3,15044.41086
13.4,28071.82365
13.5,16254.19003
13.6,16576.69431
13.7,6515.273726
13.8,18514.68952
13.9,8770.634613
14,12795.66602
14.1,21388.72501
14.2,11761.29274
14.3,8845.761853
14.4,9074.76416
14.5,13284.43314
14.6,4883.655268
14.7,10217.85529
14.8,6319.352389
14.9,7730.543154
15,9323.387667
15.1,6248.491999
15.2,3765.863886
15.3,6624.256466
15.4,6370.401872
15.5,5620.733303
15.6,9481.823191
15.7,2812.115072
15.8,6100.59488
15.9,7268.743592
16,3988.09239
16.1,4105.331277
16.2,5182.058315
16.3,4470.366289
16.4,3753.340801
16.5,3139.35339
16.6,4322.02294
16.7,2797.134301
16.8,3420.022359
16.9,2050.658128
17,2624.015854
17.1,3548.394684
17.2,1953.823527
17.3,1850.440516
17.4,2169.503883
17.5,2380.801176
17.6,2054.822979
17.7,1983.296696
17.8,1515.603147
17.9,1858.146519
18,992.6101961
18.1,2185.635582
18.2,1031.013119
18.3,1335.509339
