# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = massless, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=22000000.0, vE=23200000.0, vesc=54400000.0
# mX (eV) = 28000000.0
# sigma_e (cm^2) = 1e-31
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,136176340.4
1.3,624934576
1.4,0
1.5,0
1.6,245321021.7
1.7,803696920
1.8,0
1.9,2544845356
2,509611577.4
2.1,1551686095
2.2,879927857
2.3,637287840.1
2.4,1819262171
2.5,295396629.4
2.6,681967807.4
2.7,1169028198
2.8,1140783780
2.9,1330033494
3,1435573217
3.1,736787187.3
3.2,1376769948
3.3,1580538897
3.4,1060195654
3.5,255068630.5
3.6,602044250
3.7,822809910.4
3.8,965337457.1
3.9,1000429145
4,781244057.1
4.1,878475465.5
4.2,858661259
4.3,922739958.7
4.4,267441835.6
4.5,806803046.5
4.6,482908449.7
4.7,570952821.6
4.8,351104648.5
4.9,487288157.6
5,512618240.7
5.1,451536122.1
5.2,443897525
5.3,429378160.8
5.4,459222283.2
5.5,302477818.9
5.6,300829126.9
5.7,313878492
5.8,73872412.3
5.9,225739997.8
6,278413017.1
6.1,69484565.16
6.2,171477275.6
6.3,145831235.6
6.4,70674888.13
6.5,221338281.9
6.6,142545341.8
6.7,38929598.11
6.8,111332397.8
6.9,101999577.5
7,48464132.52
7.1,88011589.76
7.2,19705620.28
7.3,74089759.9
7.4,45152357.6
7.5,28207848.14
7.6,28941095.82
7.7,23363005.13
7.8,19782842.02
7.9,35928984.12
8,22144845.08
8.1,9264070.61
8.2,11376391.68
8.3,11829670.99
8.4,7279304.393
8.5,6730682.444
8.6,4785263.462
8.7,5017456.487
8.8,5825944.902
8.9,4860359.743
9,2453941.846
9.1,3425484.038
9.2,3413226.114
9.3,2989368.198
9.4,2345502.906
9.5,2101046.765
9.6,1175371.164
9.7,2030123.81
9.8,1764574.296
9.9,1351259.101
10,1027957.928
10.1,1155851.507
10.2,1177291.918
10.3,1039180.39
10.4,792503.099
10.5,757415.6375
10.6,1128969.745
10.7,374324.23
10.8,615619.9611
10.9,505856.5653
11,431646.9156
11.1,373738.583
11.2,456833.8974
11.3,246631.5
11.4,327176.4393
11.5,446017.7402
11.6,305193.0501
11.7,366967.7753
11.8,170580.1834
11.9,292128.7825
12,160884.2312
12.1,134634.4499
12.2,105281.0638
12.3,183472.2961
12.4,83750.51601
12.5,70362.9297
12.6,97454.77715
12.7,26159.84691
12.8,48898.15312
12.9,60556.68233
13,31590.8211
13.1,47164.74675
13.2,46452.66911
13.3,27185.97704
13.4,48543.79582
13.5,26535.41196
13.6,25635.18141
13.7,9075.365585
13.8,24593.44104
13.9,10884.2047
14,14788.50084
14.1,23658.85078
14.2,11557.72279
14.3,8759.617211
14.4,7826.000143
14.5,10970.94924
14.6,3886.129826
14.7,7661.027052
14.8,4336.712416
14.9,4956.927426
15,5557.616179
15.1,3598.969745
15.2,1969.333428
15.3,3228.671661
15.4,3025.548182
15.5,2502.809617
15.6,4019.592489
15.7,1095.742059
15.8,2203.264164
15.9,2551.664
16,1291.681594
16.1,1198.414262
16.2,1490.90608
16.3,1136.705854
16.4,950.3737254
16.5,714.3759193
16.6,924.6596579
16.7,539.605133
16.8,625.2527297
16.9,337.6793812
17,414.4420861
17.1,518.5410563
17.2,252.5618985
17.3,215.6931687
17.4,239.116642
17.5,242.0401804
17.6,180.0336062
17.7,159.5556505
17.8,107.5066117
17.9,126.803883
18,51.82439085
18.1,111.1415126
18.2,46.35489082
18.3,52.45593656
18.4,38.78942468
18.5,37.2862368
18.6,24.53025414
18.7,17.01404752
18.8,13.28211437
18.9,26.33671147
19,10.33603119
19.1,3.338459378
19.2,4.89617907
19.3,5.651323351
19.4,6.926458672
19.5,6.446167797
19.6,2.53575921
19.7,1.594444082
19.8,3.073959274
19.9,2.139579468
20,1.167003073
20.1,1.272965265
20.2,1.214775578
20.3,0.8669379101
20.4,0.3928171411
20.5,0.390657648
20.6,0.2901825918
20.7,0.2885413959
20.8,0.2754050465
20.9,0.1016251734
21,0.1321712791
21.1,0.06790641988
21.2,0.04684405581
21.3,0.03312254629
21.4,0.01424484935
21.5,0.005185818557
21.6,0.009792059426
21.7,0.004264497392
21.8,0.001811785327
21.9,0.00136221181
22,0.0004993035505
22.1,0.0002807012841
22.2,0.0001557814814
22.3,1.890431172e-05
22.4,7.30295047e-06
22.5,1.590735166e-06
22.6,1.49323442e-08
22.7,0
22.8,0
22.9,0
23,0
23.1,0
23.2,0
23.3,0
23.4,0
23.5,0
23.6,0
23.7,0
23.8,0
23.9,0
24,0
24.1,0
24.2,0
24.3,0
24.4,0
24.5,0
24.6,0
24.7,0
24.8,0
24.9,0
25,0
25.1,0
25.2,0
25.3,0
25.4,0
25.5,0
25.6,0
25.7,0
25.8,0
25.9,0
26,0
26.1,0
26.2,0
26.3,0
26.4,0
26.5,0
26.6,0
26.7,0
26.8,0
26.9,0
27,0
27.1,0
27.2,0
27.3,0
27.4,0
27.5,0
27.6,0
27.7,0
27.8,0
27.9,0
28,0
28.1,0
28.2,0
28.3,0
28.4,0
28.5,0
28.6,0
28.7,0
28.8,0
28.9,0
29,0
29.1,0
29.2,0
29.3,0
29.4,0
29.5,0
29.6,0
29.7,0
29.8,0
29.9,0
30,0
30.1,0
30.2,0
30.3,0
30.4,0
30.5,0
30.6,0
30.7,0
30.8,0
30.9,0
31,0
31.1,0
31.2,0
31.3,0
31.4,0
31.5,0
31.6,0
31.7,0
31.8,0
31.9,0
32,0
32.1,0
32.2,0
32.3,0
32.4,0
32.5,0
32.6,0
32.7,0
32.8,0
32.9,0
33,0
33.1,0
33.2,0
33.3,0
33.4,0
33.5,0
33.6,0
33.7,0
33.8,0
33.9,0
34,0
34.1,0
34.2,0
34.3,0
34.4,0
34.5,0
34.6,0
34.7,0
34.8,0
34.9,0
35,0
35.1,0
35.2,0
35.3,0
35.4,0
35.5,0
35.6,0
35.7,0
35.8,0
35.9,0
36,0
36.1,0
36.2,0
36.3,0
36.4,0
36.5,0
36.6,0
36.7,0
36.8,0
36.9,0
37,0
37.1,0
37.2,0
37.3,0
37.4,0
37.5,0
37.6,0
37.7,0
37.8,0
37.9,0
38,0
38.1,0
38.2,0
38.3,0
38.4,0
38.5,0
38.6,0
38.7,0
38.8,0
38.9,0
39,0
39.1,0
39.2,0
39.3,0
