# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = massless, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=22000000.0, vE=23200000.0, vesc=54400000.0
# mX (eV) = 84000000.0
# sigma_e (cm^2) = 1.9952623149688665e-37
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,94.58753174
1.3,435.065418
1.4,0
1.5,0
1.6,173.4862377
1.7,578.1228964
1.8,0
1.9,1840.655773
2,368.1328342
2.1,1127.541811
2.2,650.438034
2.3,470.5668247
2.4,1370.521747
2.5,222.6650422
2.6,517.1528946
2.7,887.3055506
2.8,896.8763931
2.9,1029.006922
3,1131.330686
3.1,583.1794821
3.2,1095.910967
3.3,1265.041143
3.4,848.032294
3.5,205.5911925
3.6,496.7945591
3.7,680.3950498
3.8,804.530323
3.9,837.8296604
4,675.4993851
4.1,752.3332692
4.2,747.9586973
4.3,800.6970469
4.4,234.8560517
4.5,721.7423043
4.6,431.5384377
4.7,521.7340782
4.8,322.9968962
4.9,454.1066143
5,485.480438
5.1,431.9763111
5.2,428.1038221
5.3,421.8107677
5.4,447.4771937
5.5,305.120117
5.6,307.2394489
5.7,323.4877013
5.8,78.137672
5.9,237.5050165
6,299.4511906
6.1,78.5222675
6.2,189.9892497
6.3,166.1868506
6.4,82.08385812
6.5,257.23834
6.6,174.6780747
6.7,48.55015954
6.8,138.4445476
6.9,129.8571015
7,61.33436629
7.1,117.7361445
7.2,27.42037929
7.3,104.2820133
7.4,65.62918448
7.5,42.70549538
7.6,44.52652516
7.7,38.9632568
7.8,32.89336935
7.9,59.6945796
8,39.09376634
8.1,16.84678387
8.2,20.8178777
8.3,21.96444256
8.4,14.1073045
8.5,13.08325166
8.6,9.45939035
8.7,9.757296807
8.8,11.91844171
8.9,10.09272983
9,5.367049351
9.1,7.670561459
9.2,7.494117242
9.3,6.610595542
9.4,5.906285375
9.5,5.273098975
9.6,2.60137767
9.7,5.227993231
9.8,4.636949355
9.9,3.346915502
10,2.697222451
10.1,2.847241744
10.2,2.979804864
10.3,2.678486933
10.4,2.093013951
10.5,2.114100457
10.6,3.092527011
10.7,1.014943866
10.8,1.721053325
10.9,1.451677493
11,1.277570362
11.1,1.166462266
11.2,1.398957507
11.3,0.809900318
11.4,1.065872308
11.5,1.472299578
11.6,1.057257801
11.7,1.287660016
11.8,0.6167518181
11.9,1.061042908
12,0.6029214329
12.1,0.5149906179
12.2,0.430327684
12.3,0.7432933759
12.4,0.360422052
12.5,0.3200919286
12.6,0.4431198071
12.7,0.1412767195
12.8,0.2460729683
12.9,0.300131255
13,0.1703725218
13.1,0.2797255888
13.2,0.2480284986
13.3,0.1688194947
13.4,0.2999924512
13.5,0.1668467471
13.6,0.1653187665
13.7,0.06537868285
13.8,0.1782137915
13.9,0.08322973861
14,0.1151851988
14.1,0.1863079494
14.2,0.1029949399
14.3,0.07266222529
14.4,0.07462366959
14.5,0.1067650283
14.6,0.03806518278
14.7,0.07678190879
14.8,0.04688671908
14.9,0.05576576795
15,0.06531789456
15.1,0.04311762811
15.2,0.02531651944
15.3,0.04376675988
15.4,0.04040710416
15.5,0.03492529304
15.6,0.05698836337
15.7,0.01670853097
15.8,0.03554162006
15.9,0.04091015032
16,0.02205230514
16.1,0.02233487039
16.2,0.02715169512
16.3,0.02360216215
16.4,0.01871748007
16.5,0.01550329883
16.6,0.02091405986
16.7,0.01311624708
16.8,0.01562066418
16.9,0.009179446766
17,0.01140169139
17.1,0.01495641857
17.2,0.008172574992
17.3,0.007602193163
17.4,0.008576714614
17.5,0.009209786865
17.6,0.007839261477
17.7,0.007355165934
17.8,0.005585400279
17.9,0.006600082468
18,0.003539551196
18.1,0.007499878282
18.2,0.00349279704
18.3,0.004460675781
18.4,0.003363788553
18.5,0.003628200872
18.6,0.002969839276
18.7,0.00206467729
18.8,0.001805142289
18.9,0.004302295267
19,0.001893714778
19.1,0.0007128116606
19.2,0.001289294493
19.3,0.001420450726
19.4,0.002117053786
19.5,0.002350520504
19.6,0.001078055578
19.7,0.0007651583419
19.8,0.001682379942
19.9,0.001369033026
20,0.0008807860492
20.1,0.001127628281
20.2,0.001298099843
20.3,0.001165358355
20.4,0.0006614431122
20.5,0.0006397985229
20.6,0.0007707213708
20.7,0.000832829158
20.8,0.001053117251
20.9,0.0005372974376
21,0.0009058659501
21.1,0.0005991308358
21.2,0.0006806667147
21.3,0.0006358688604
21.4,0.0004152905999
21.5,0.0002729771443
21.6,0.0006373882202
21.7,0.0004574975652
21.8,0.0003765271436
21.9,0.0005354962993
22,0.0002855787287
22.1,0.0003818571528
22.2,0.0004960162945
22.3,0.0001501024697
22.4,0.0002106214753
22.5,0.0002727982737
22.6,0.000151646863
22.7,0.0002556670534
22.8,0.0002622910057
22.9,0.0002330906904
23,0.0002004640279
23.1,0.0001991801755
23.2,0.0001577079117
23.3,8.222269361e-05
23.4,0.0001125840878
23.5,0.0001095346182
23.6,8.84452334e-05
23.7,6.643218395e-05
23.8,6.189478819e-05
23.9,7.196216167e-05
24,6.23704478e-05
24.1,5.265987788e-05
24.2,4.337633634e-05
24.3,2.477624896e-05
24.4,3.210185192e-05
24.5,3.810611063e-05
24.6,2.924577487e-05
24.7,3.269075817e-05
24.8,3.052326159e-05
24.9,2.874214201e-05
25,1.952419579e-05
25.1,2.685522436e-05
25.2,1.910769201e-05
25.3,6.992435274e-06
25.4,1.557251285e-05
25.5,1.476111285e-05
25.6,1.108304554e-05
25.7,1.062427158e-05
25.8,7.184008959e-06
25.9,8.487082124e-06
26,8.437999808e-06
26.1,8.342064757e-06
26.2,6.905944541e-06
26.3,7.659399492e-06
26.4,5.830419928e-06
26.5,2.714570927e-06
26.6,7.072871247e-06
26.7,5.496414686e-06
26.8,4.772262596e-06
26.9,6.477263393e-06
27,1.726369086e-06
27.1,2.703046999e-06
27.2,4.5232776e-06
27.3,2.308008054e-06
27.4,2.417713052e-06
27.5,2.371352936e-06
27.6,1.888364469e-06
27.7,1.678354829e-06
27.8,2.036904944e-06
27.9,1.288449559e-06
28,1.18325465e-06
28.1,8.482946663e-07
28.2,1.179917726e-06
28.3,1.018874337e-06
28.4,7.965438706e-07
28.5,4.214406541e-07
28.6,7.569061438e-07
28.7,9.024658229e-07
28.8,5.264940928e-07
28.9,5.507289218e-07
29,2.60064018e-07
29.1,3.860277064e-07
29.2,3.094041453e-07
