# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = massless, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=23800000.0, vE=25370000.0, vesc=54400000.0
# mX (eV) = 10000000.0
# sigma_e (cm^2) = 5.108969774506872e-38
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,171.1923712
1.3,810.7906594
1.4,0
1.5,0
1.6,315.7226928
1.7,1143.19141
1.8,0
1.9,3414.153705
2,637.7351864
2.1,1946.639617
2.2,1158.086328
2.3,904.9892056
2.4,2358.456838
2.5,388.5725363
2.6,966.4667707
2.7,1560.585868
2.8,1525.333031
2.9,2035.835542
3,1980.24153
3.1,1126.714552
3.2,1865.965811
3.3,2373.359868
3.4,1749.386964
3.5,314.761633
3.6,961.3148826
3.7,1491.368409
3.8,1616.082652
3.9,2236.739973
4,1305.64055
4.1,1620.804333
4.2,1767.503043
4.3,2027.55596
4.4,547.0275601
4.5,1715.447226
4.6,1081.783862
4.7,1135.40099
4.8,877.5859559
4.9,1140.473063
5,1222.215456
5.1,1155.363092
5.2,1206.673764
5.3,1273.130373
5.4,1162.610068
5.5,839.1482856
5.6,907.414627
5.7,886.1762818
5.8,265.8689983
5.9,716.0984713
6,911.6122832
6.1,222.4544698
6.2,648.1624565
6.3,640.525026
6.4,280.7264102
6.5,1098.190004
6.6,741.9524338
6.7,232.4546014
6.8,607.3169427
6.9,674.1930063
7,260.5790303
7.1,618.4234062
7.2,153.7422199
7.3,671.7032979
7.4,450.4411311
7.5,281.1657643
7.6,367.2656548
7.7,321.7281101
7.8,411.1277483
7.9,629.7127
8,383.6824844
8.1,199.2723463
8.2,253.5656656
8.3,301.9540447
8.4,207.5419432
8.5,242.5605822
8.6,134.6015899
8.7,235.4726944
8.8,217.2248212
8.9,207.2125949
9,168.7449676
9.1,216.9565
9.2,249.2744257
9.3,237.4233678
9.4,147.3481634
9.5,114.9293321
9.6,106.9041346
9.7,122.688653
9.8,117.0147682
9.9,138.7354448
10,118.0773992
10.1,148.1402017
10.2,129.3183573
10.3,120.440457
