# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = massless, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=23800000.0, vE=25370000.0, vesc=54400000.0
# mX (eV) = 28000000.0
# sigma_e (cm^2) = 1e-46
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,1.345888303e-07
1.3,6.370934555e-07
1.4,0
1.5,0
1.6,2.579952326e-07
1.7,9.631237417e-07
1.8,0
1.9,2.931124347e-06
2,5.506872029e-07
2.1,1.723919059e-06
2.2,1.050928233e-06
2.3,7.684560967e-07
2.4,2.252703343e-06
2.5,3.673230831e-07
2.6,9.299270546e-07
2.7,1.472276389e-06
2.8,1.612117752e-06
2.9,1.932419413e-06
3,2.037331656e-06
3.1,1.116903548e-06
3.2,1.917789701e-06
3.3,2.35827544e-06
3.4,1.768791332e-06
3.5,3.832867326e-07
3.6,1.014424313e-06
3.7,1.497275867e-06
3.8,1.712674649e-06
3.9,2.130779325e-06
4,1.453054789e-06
4.1,1.836510484e-06
4.2,1.830427667e-06
4.3,2.102939881e-06
4.4,5.793466005e-07
4.5,1.844478751e-06
4.6,1.123207156e-06
4.7,1.263849302e-06
4.8,9.442285022e-07
4.9,1.248488891e-06
5,1.344335333e-06
5.1,1.259451972e-06
5.2,1.313442536e-06
5.3,1.346774465e-06
5.4,1.276568463e-06
5.5,9.383578431e-07
5.6,9.982315389e-07
5.7,9.935358463e-07
5.8,2.970207861e-07
5.9,7.931156232e-07
6,9.942085736e-07
6.1,2.562789999e-07
6.2,7.073088604e-07
6.3,6.709611276e-07
6.4,3.101479342e-07
6.5,1.134364677e-06
6.6,7.652069079e-07
6.7,2.406704308e-07
6.8,6.351119698e-07
6.9,6.792101438e-07
7,2.779820874e-07
7.1,6.224808211e-07
7.2,1.468382446e-07
7.3,6.358265407e-07
7.4,4.292796548e-07
7.5,2.699258989e-07
7.6,3.34614183e-07
7.7,2.967857781e-07
7.8,3.574390588e-07
7.9,5.545977908e-07
